bug,validity
PySnooper_1,ok
PySnooper_2,not fully reproduced
PySnooper_3,ok
ansible_1,ok
ansible_10,not fully reproduced
ansible_11,not fully reproduced
ansible_12,no failing test
ansible_13,no error message
ansible_14,ok
ansible_15,ok
ansible_16,ok
ansible_17,ok
ansible_18,ok
ansible_2,ok
ansible_3,ok
ansible_4,ok
ansible_5,ok
ansible_6,ok
ansible_7,not fully reproduced
ansible_8,no error message
ansible_9,not fully reproduced
black_1,ok
black_10,ok
black_11,ok
black_12,ok
black_13,ok
black_14,ok
black_15,ok
black_16,ok
black_17,ok
black_18,ok
black_19,ok
black_2,ok
black_20,ok
black_21,no error message
black_22,ok
black_23,ok
black_3,ok
black_4,ok
black_5,ok
black_6,ok
black_7,ok
black_8,ok
black_9,ok
cookiecutter_1,ok
cookiecutter_2,ok
cookiecutter_3,ok
cookiecutter_4,ok
fastapi_1,ok
fastapi_10,ok
fastapi_11,ok
fastapi_12,ok
fastapi_13,ok
fastapi_14,ok
fastapi_15,ok
fastapi_16,ok
fastapi_2,ok
fastapi_3,ok
fastapi_4,ok
fastapi_5,ok
fastapi_6,ok
fastapi_7,ok
fastapi_8,ok
fastapi_9,ok
httpie_1,ok
httpie_2,ok
httpie_3,ok
httpie_4,ok
httpie_5,ok
keras_1,ok
keras_10,ok
keras_11,ok
keras_12,no failing test
keras_13,ok
keras_14,not fully reproduced
keras_15,ok
keras_16,ok
keras_17,ok
keras_18,ok
keras_19,ok
keras_2,ok
keras_20,ok
keras_21,not fully reproduced
keras_22,not fully reproduced
keras_23,not fully reproduced
keras_24,ok
keras_25,ok
keras_26,ok
keras_27,ok
keras_28,ok
keras_29,no failing test
keras_3,ok
keras_30,ok
keras_31,ok
keras_32,ok
keras_33,ok
keras_34,ok
keras_35,ok
keras_36,ok
keras_37,ok
keras_38,ok
keras_39,ok
keras_4,ok
keras_40,ok
keras_41,ok
keras_42,ok
keras_43,ok
keras_44,ok
keras_45,no failing test
keras_5,not fully reproduced
keras_6,ok
keras_7,ok
keras_8,ok
keras_9,no failing test
luigi_1,ok
luigi_10,ok
luigi_11,ok
luigi_12,ok
luigi_13,ok
luigi_14,ok
luigi_15,ok
luigi_16,ok
luigi_17,ok
luigi_18,ok
luigi_19,ok
luigi_2,not fully reproduced
luigi_20,not fully reproduced
luigi_21,not fully reproduced
luigi_22,ok
luigi_23,ok
luigi_24,not fully reproduced
luigi_25,not fully reproduced
luigi_26,ok
luigi_27,ok
luigi_28,ok
luigi_29,ok
luigi_3,ok
luigi_30,ok
luigi_31,ok
luigi_32,ok
luigi_33,ok
luigi_4,ok
luigi_5,ok
luigi_6,ok
luigi_7,ok
luigi_8,ok
luigi_9,ok
matplotlib_1,ok
matplotlib_10,ok
matplotlib_11,ok
matplotlib_12,ok
matplotlib_13,ok
matplotlib_14,ok
matplotlib_15,ok
matplotlib_16,ok
matplotlib_17,ok
matplotlib_18,ok
matplotlib_19,ok
matplotlib_2,ok
matplotlib_20,ok
matplotlib_21,ok
matplotlib_22,ok
matplotlib_23,ok
matplotlib_24,ok
matplotlib_25,ok
matplotlib_26,not fully reproduced
matplotlib_27,not fully reproduced
matplotlib_28,not fully reproduced
matplotlib_29,ok
matplotlib_3,ok
matplotlib_30,ok
matplotlib_4,ok
matplotlib_5,ok
matplotlib_6,ok
matplotlib_7,ok
matplotlib_8,ok
matplotlib_9,ok
pandas_1,ok
pandas_10,ok
pandas_100,ok
pandas_101,ok
pandas_102,ok
pandas_103,ok
pandas_104,ok
pandas_105,ok
pandas_106,ok
pandas_107,ok
pandas_108,ok
pandas_109,ok
pandas_11,ok
pandas_110,ok
pandas_111,ok
pandas_112,ok
pandas_113,not fully reproduced
pandas_114,ok
pandas_115,ok
pandas_116,ok
pandas_117,ok
pandas_118,ok
pandas_119,ok
pandas_12,ok
pandas_120,ok
pandas_121,ok
pandas_122,ok
pandas_123,ok
pandas_124,ok
pandas_125,ok
pandas_126,ok
pandas_127,ok
pandas_128,ok
pandas_129,ok
pandas_13,ok
pandas_130,ok
pandas_131,ok
