bug_name,expl_idx,Exists,Accurate,Misleading,Concise,Useful
Closure_41,1,TRUE,FALSE,FALSE,FALSE,FALSE
Closure_41,2,FALSE,,,,
Closure_41,3,TRUE,FALSE,FALSE,FALSE,FALSE
Closure_41,4,FALSE,,,,
Closure_41,5,TRUE,FALSE,TRUE,FALSE,FALSE
Closure_82,1,FALSE,,,,
Closure_82,2,TRUE,FALSE,TRUE,FALSE,FALSE
Closure_82,3,TRUE,FALSE,FALSE,FALSE,FALSE
Closure_82,4,TRUE,TRUE,FALSE,TRUE,TRUE
Closure_82,5,TRUE,FALSE,TRUE,FALSE,FALSE
Lang_32,1,TRUE,FALSE,FALSE,FALSE,FALSE
Lang_32,2,TRUE,FALSE,TRUE,FALSE,FALSE
Lang_32,3,TRUE,FALSE,FALSE,FALSE,FALSE
Lang_32,4,TRUE,TRUE,TRUE,FALSE,FALSE
Lang_32,5,TRUE,FALSE,TRUE,FALSE,FALSE
Closure_84,1,TRUE,FALSE,FALSE,FALSE,FALSE
Closure_84,2,TRUE,TRUE,FALSE,FALSE,FALSE
Closure_84,3,TRUE,FALSE,TRUE,FALSE,FALSE
Closure_84,4,TRUE,FALSE,FALSE,FALSE,FALSE
Closure_84,5,TRUE,FALSE,TRUE,FALSE,FALSE
Math_24,1,TRUE,FALSE,FALSE,FALSE,FALSE
Math_24,2,FALSE,,,,
Math_24,3,TRUE,FALSE,FALSE,FALSE,FALSE
Math_24,4,FALSE,,,,
Math_24,5,TRUE,FALSE,FALSE,FALSE,FALSE
Math_78,1,FALSE,,,,
Math_78,2,TRUE,FALSE,FALSE,FALSE,FALSE
Math_78,3,FALSE,,,,
Math_78,4,FALSE,,,,
Math_78,5,TRUE,TRUE,FALSE,TRUE,TRUE
Math_99,1,TRUE,TRUE,FALSE,TRUE,TRUE
Math_99,2,TRUE,FALSE,FALSE,FALSE,FALSE
Math_99,3,TRUE,FALSE,FALSE,FALSE,FALSE
Math_99,4,TRUE,TRUE,TRUE,TRUE,TRUE
Math_99,5,TRUE,FALSE,FALSE,FALSE,FALSE
Closure_27,1,TRUE,TRUE,FALSE,FALSE,FALSE
Closure_27,2,TRUE,FALSE,FALSE,FALSE,FALSE
Closure_27,3,TRUE,FALSE,TRUE,FALSE,FALSE
Closure_27,4,TRUE,FALSE,FALSE,FALSE,FALSE
Closure_27,5,TRUE,TRUE,FALSE,TRUE,TRUE
Closure_38,1,TRUE,FALSE,FALSE,FALSE,FALSE
Closure_38,2,TRUE,FALSE,TRUE,FALSE,FALSE
Closure_38,3,TRUE,TRUE,TRUE,FALSE,FALSE
Closure_38,4,TRUE,FALSE,FALSE,FALSE,FALSE
Closure_38,5,TRUE,FALSE,TRUE,FALSE,FALSE
Math_45,1,TRUE,FALSE,FALSE,FALSE,FALSE
Math_45,2,TRUE,TRUE,FALSE,TRUE,TRUE
Math_45,3,TRUE,TRUE,FALSE,TRUE,TRUE
Math_45,4,TRUE,FALSE,FALSE,FALSE,FALSE
Math_45,5,TRUE,TRUE,FALSE,TRUE,TRUE
Time_27,1,FALSE,,,,
Time_27,2,FALSE,,,,
Time_27,3,TRUE,FALSE,TRUE,FALSE,FALSE
Time_27,4,TRUE,FALSE,FALSE,FALSE,FALSE
Time_27,5,TRUE,FALSE,TRUE,FALSE,FALSE
Math_72,1,TRUE,FALSE,TRUE,FALSE,FALSE
Math_72,2,TRUE,FALSE,TRUE,FALSE,FALSE
Math_72,3,TRUE,FALSE,FALSE,FALSE,FALSE
Math_72,4,TRUE,FALSE,TRUE,FALSE,FALSE
Math_72,5,TRUE,FALSE,FALSE,FALSE,FALSE
Lang_20,1,TRUE,FALSE,FALSE,FALSE,FALSE
Lang_20,2,TRUE,FALSE,FALSE,FALSE,FALSE
Lang_20,3,TRUE,FALSE,FALSE,FALSE,FALSE
Lang_20,4,TRUE,FALSE,TRUE,FALSE,FALSE
Lang_20,5,FALSE,,,,
Lang_58,1,TRUE,FALSE,FALSE,FALSE,FALSE
Lang_58,2,TRUE,TRUE,FALSE,TRUE,FALSE
Lang_58,3,TRUE,FALSE,TRUE,FALSE,FALSE
Lang_58,4,TRUE,TRUE,FALSE,TRUE,FALSE
Lang_58,5,TRUE,FALSE,FALSE,FALSE,FALSE
Math_103,1,TRUE,FALSE,FALSE,FALSE,FALSE
Math_103,2,TRUE,TRUE,FALSE,TRUE,FALSE
Math_103,3,TRUE,FALSE,FALSE,FALSE,FALSE
Math_103,4,TRUE,TRUE,FALSE,TRUE,FALSE
Math_103,5,TRUE,FALSE,FALSE,FALSE,FALSE
Math_69,1,FALSE,,,,
Math_69,2,TRUE,FALSE,TRUE,FALSE,FALSE
Math_69,3,TRUE,TRUE,TRUE,FALSE,FALSE
Math_69,4,TRUE,FALSE,FALSE,FALSE,FALSE
Math_69,5,TRUE,TRUE,FALSE,FALSE,FALSE
Chart_19,1,TRUE,TRUE,FALSE,TRUE,TRUE
Chart_19,2,TRUE,TRUE,FALSE,TRUE,TRUE
Chart_19,3,TRUE,TRUE,FALSE,TRUE,TRUE
Chart_19,4,TRUE,FALSE,TRUE,FALSE,FALSE
Chart_19,5,TRUE,TRUE,FALSE,TRUE,TRUE
Closure_23,1,FALSE,,,,
Closure_23,2,TRUE,FALSE,TRUE,FALSE,FALSE
Closure_23,3,FALSE,,,,
Closure_23,4,FALSE,,,,
Closure_23,5,TRUE,FALSE,FALSE,FALSE,FALSE
Math_85,1,TRUE,FALSE,FALSE,FALSE,FALSE
Math_85,2,TRUE,FALSE,FALSE,FALSE,FALSE
Math_85,3,TRUE,TRUE,FALSE,FALSE,FALSE
Math_85,4,TRUE,TRUE,FALSE,FALSE,FALSE
Math_85,5,TRUE,FALSE,FALSE,FALSE,FALSE
Lang_30,1,FALSE,,,,
Lang_30,2,TRUE,TRUE,TRUE,FALSE,FALSE
Lang_30,3,TRUE,FALSE,FALSE,FALSE,FALSE
Lang_30,4,TRUE,FALSE,FALSE,FALSE,FALSE
Lang_30,5,TRUE,FALSE,FALSE,FALSE,FALSE
Closure_115,1,TRUE,FALSE,FALSE,FALSE,FALSE
Closure_115,2,TRUE,FALSE,FALSE,FALSE,FALSE
Closure_115,3,TRUE,FALSE,FALSE,FALSE,FALSE
Closure_115,4,TRUE,FALSE,FALSE,FALSE,FALSE
Closure_115,5,TRUE,FALSE,FALSE,FALSE,FALSE
Closure_54,1,TRUE,FALSE,FALSE,FALSE,FALSE
Closure_54,2,TRUE,FALSE,TRUE,FALSE,FALSE
Closure_54,3,TRUE,FALSE,FALSE,FALSE,FALSE
Closure_54,4,FALSE,,,,
Closure_54,5,TRUE,FALSE,TRUE,FALSE,FALSE
Math_2,1,TRUE,FALSE,FALSE,FALSE,FALSE
Math_2,2,TRUE,FALSE,FALSE,FALSE,FALSE
Math_2,3,FALSE,,,,
Math_2,4,TRUE,FALSE,FALSE,FALSE,FALSE
Math_2,5,FALSE,,,,
Time_10,1,TRUE,FALSE,TRUE,FALSE,FALSE
Time_10,2,TRUE,FALSE,TRUE,FALSE,FALSE
Time_10,3,TRUE,FALSE,FALSE,FALSE,FALSE
Time_10,4,TRUE,TRUE,FALSE,FALSE,FALSE
Time_10,5,TRUE,FALSE,FALSE,FALSE,FALSE
Closure_71,1,FALSE,,,,
Closure_71,2,TRUE,FALSE,FALSE,FALSE,FALSE
Closure_71,3,TRUE,FALSE,TRUE,FALSE,FALSE
Closure_71,4,TRUE,FALSE,FALSE,FALSE,FALSE
Closure_71,5,TRUE,FALSE,FALSE,FALSE,FALSE
Math_105,1,TRUE,FALSE,FALSE,FALSE,FALSE
Math_105,2,TRUE,FALSE,FALSE,FALSE,FALSE
Math_105,3,TRUE,TRUE,FALSE,TRUE,FALSE
Math_105,4,TRUE,FALSE,TRUE,FALSE,FALSE
Math_105,5,TRUE,TRUE,TRUE,FALSE,TRUE
Closure_103,1,TRUE,FALSE,TRUE,FALSE,FALSE
Closure_103,2,TRUE,FALSE,FALSE,FALSE,FALSE
Closure_103,3,TRUE,FALSE,FALSE,FALSE,FALSE
Closure_103,4,TRUE,FALSE,FALSE,FALSE,FALSE
Closure_103,5,TRUE,FALSE,TRUE,FALSE,FALSE
Math_89,1,TRUE,FALSE,TRUE,FALSE,FALSE
Math_89,2,TRUE,TRUE,FALSE,TRUE,TRUE
Math_89,3,TRUE,FALSE,FALSE,FALSE,FALSE
Math_89,4,TRUE,FALSE,FALSE,FALSE,FALSE
Math_89,5,TRUE,FALSE,TRUE,FALSE,FALSE
Chart_11,1,TRUE,FALSE,FALSE,FALSE,FALSE
Chart_11,2,TRUE,FALSE,TRUE,FALSE,FALSE
Chart_11,3,TRUE,FALSE,TRUE,FALSE,FALSE
Chart_11,4,TRUE,FALSE,FALSE,FALSE,FALSE
Chart_11,5,TRUE,TRUE,FALSE,FALSE,FALSE
Closure_122,1,FALSE,,,,
Closure_122,2,TRUE,FALSE,TRUE,FALSE,FALSE
Closure_122,3,TRUE,FALSE,FALSE,FALSE,FALSE
Closure_122,4,TRUE,FALSE,TRUE,FALSE,FALSE
Closure_122,5,TRUE,FALSE,TRUE,FALSE,FALSE
Closure_22,1,TRUE,FALSE,FALSE,FALSE,FALSE
Closure_22,2,TRUE,FALSE,FALSE,FALSE,FALSE
Closure_22,3,TRUE,FALSE,FALSE,FALSE,FALSE
Closure_22,4,TRUE,FALSE,FALSE,FALSE,FALSE
Closure_22,5,FALSE,,,,
Math_84,1,TRUE,FALSE,TRUE,FALSE,FALSE
Math_84,2,TRUE,FALSE,FALSE,FALSE,FALSE
Math_84,3,TRUE,FALSE,FALSE,FALSE,FALSE
Math_84,4,TRUE,TRUE,FALSE,TRUE,TRUE
Math_84,5,TRUE,FALSE,FALSE,FALSE,FALSE
Lang_43,1,TRUE,TRUE,FALSE,TRUE,FALSE
Lang_43,2,FALSE,,,,
Lang_43,3,FALSE,,,,
Lang_43,4,FALSE,,,,
Lang_43,5,TRUE,TRUE,FALSE,FALSE,FALSE
Chart_16,1,TRUE,FALSE,FALSE,FALSE,FALSE
Chart_16,2,TRUE,TRUE,FALSE,FALSE,FALSE
Chart_16,3,TRUE,FALSE,FALSE,FALSE,FALSE
Chart_16,4,TRUE,TRUE,TRUE,FALSE,FALSE
Chart_16,5,FALSE,,,,
Math_27,1,TRUE,FALSE,TRUE,FALSE,FALSE
Math_27,2,TRUE,TRUE,TRUE,FALSE,FALSE
Math_27,3,TRUE,FALSE,FALSE,FALSE,FALSE
Math_27,4,TRUE,FALSE,TRUE,FALSE,FALSE
Math_27,5,FALSE,,,,
Math_74,1,FALSE,,,,
Math_74,2,TRUE,FALSE,FALSE,FALSE,FALSE
Math_74,3,FALSE,,,,
Math_74,4,TRUE,FALSE,FALSE,FALSE,FALSE
Math_74,5,TRUE,FALSE,TRUE,FALSE,FALSE
Closure_132,1,FALSE,,,,
Closure_132,2,TRUE,FALSE,TRUE,FALSE,FALSE
Closure_132,3,TRUE,FALSE,TRUE,FALSE,FALSE
Closure_132,4,FALSE,,,,
Closure_132,5,FALSE,,,,
Lang_12,1,FALSE,,,,
Lang_12,2,TRUE,FALSE,FALSE,FALSE,FALSE
Lang_12,3,TRUE,FALSE,FALSE,FALSE,FALSE
Lang_12,4,TRUE,FALSE,FALSE,FALSE,FALSE
Lang_12,5,TRUE,TRUE,FALSE,TRUE,TRUE
Math_38,1,FALSE,,,,
Math_38,2,FALSE,,,,
Math_38,3,TRUE,FALSE,FALSE,FALSE,FALSE
Math_38,4,FALSE,,,,
Math_38,5,TRUE,FALSE,FALSE,FALSE,FALSE
Lang_27,1,TRUE,FALSE,FALSE,FALSE,FALSE
Lang_27,2,TRUE,FALSE,FALSE,FALSE,FALSE
Lang_27,3,FALSE,,,,
Lang_27,4,FALSE,,,,
Lang_27,5,TRUE,FALSE,FALSE,FALSE,FALSE
Closure_4,1,TRUE,FALSE,FALSE,FALSE,FALSE
Closure_4,2,TRUE,FALSE,TRUE,FALSE,FALSE
Closure_4,3,TRUE,FALSE,FALSE,FALSE,FALSE
Closure_4,4,TRUE,FALSE,TRUE,FALSE,FALSE
Closure_4,5,TRUE,FALSE,FALSE,FALSE,FALSE
Math_64,1,TRUE,FALSE,TRUE,FALSE,FALSE
Math_64,2,TRUE,FALSE,TRUE,FALSE,FALSE
Math_64,3,TRUE,FALSE,TRUE,FALSE,FALSE
Math_64,4,TRUE,TRUE,TRUE,FALSE,FALSE
Math_64,5,TRUE,FALSE,FALSE,FALSE,FALSE
Closure_130,1,FALSE,,,,
Closure_130,2,TRUE,FALSE,TRUE,FALSE,FALSE
Closure_130,3,TRUE,FALSE,TRUE,FALSE,FALSE
Closure_130,4,FALSE,,,,
Closure_130,5,TRUE,FALSE,FALSE,FALSE,FALSE
Closure_53,1,TRUE,TRUE,FALSE,TRUE,FALSE
Closure_53,2,TRUE,TRUE,FALSE,FALSE,FALSE
Closure_53,3,TRUE,TRUE,FALSE,FALSE,FALSE
Closure_53,4,TRUE,FALSE,FALSE,FALSE,FALSE
Closure_53,5,TRUE,FALSE,FALSE,FALSE,FALSE
Time_13,1,TRUE,FALSE,FALSE,FALSE,FALSE
Time_13,2,TRUE,TRUE,TRUE,FALSE,TRUE
Time_13,3,TRUE,TRUE,TRUE,FALSE,FALSE
Time_13,4,TRUE,TRUE,TRUE,FALSE,FALSE
Time_13,5,TRUE,TRUE,FALSE,FALSE,FALSE
Chart_7,1,TRUE,FALSE,FALSE,FALSE,FALSE
Chart_7,2,TRUE,FALSE,FALSE,FALSE,FALSE
Chart_7,3,FALSE,,,,
Chart_7,4,TRUE,FALSE,FALSE,FALSE,FALSE
Chart_7,5,TRUE,FALSE,FALSE,FALSE,FALSE
Lang_42,1,TRUE,FALSE,FALSE,FALSE,FALSE
Lang_42,2,TRUE,FALSE,FALSE,FALSE,FALSE
Lang_42,3,FALSE,,,,
